Time	Roll
0:01:56.939	4.7475
0:01:56.954	4.68
0:01:56.970	3.27
0:01:57.002	0.645
0:01:57.002	0.375
0:01:57.002	-0.7875
0:01:57.034	-1.0425
0:01:57.034	-1.5675
0:01:57.065	-1.1325
0:01:57.096	-0.3675
0:01:57.096	-0.975
0:01:57.112	-0.2475
0:01:57.129	0.2625
0:01:57.162	1.0125
0:01:57.162	0.645
0:01:57.192	1.4625
0:01:57.221	3.6075
0:01:57.221	2.625
0:01:57.252	4.32
0:01:57.284	4.38
0:01:57.284	4.3575
0:01:57.316	3.84
0:01:57.347	3.0375
0:01:57.347	2.265
0:01:57.379	1.5075
0:01:57.379	-0.3375
0:01:57.414	-2.355
0:01:57.452	-4.3575
0:01:57.452	-6.45
0:01:57.491	-8.6775
0:01:57.491	-10.29
0:01:57.527	-11.9775
0:01:57.527	-13.5675
0:01:57.559	-15
0:01:57.559	-16.3425
0:01:57.594	-17.9175
0:01:57.594	-19.485
0:01:57.632	-21.285
0:01:57.632	-23.22
0:01:57.670	-22.0425
0:01:57.670	-25.2
0:01:57.709	-18.6525
0:01:57.709	-19.5675
0:01:57.727	-18.3075
0:01:57.765	-15.5925
0:01:57.765	-17.19
0:01:57.765	-18.1125
0:01:57.783	-12.9675
0:01:57.802	-9.48
0:01:57.802	-10.245
0:01:57.820	-11.1
0:01:57.838	-8.4375
0:01:57.854	-6.15
0:01:57.889	-2.5575
0:01:57.889	-3.135
0:01:57.889	-4.185
0:01:57.927	-1.23
0:01:57.927	-1.8375
0:01:57.959	-3.0525
0:01:57.959	-4.545
0:01:57.959	-5.085
0:01:57.995	-1.32
0:01:57.995	-3.315
0:01:57.995	-5.9175
0:01:58.014	-0.7725
0:01:58.034	-2.535
0:01:58.034	-2.9625
0:01:58.053	-2.5875
0:01:58.072	-1.425
0:01:58.089	-0.9225
0:01:58.089	-2.355
0:01:58.127	-2.2725
0:01:58.127	-2.745
0:01:58.163	1.47
0:01:58.163	0.2775
0:01:58.199	1.89
0:01:58.199	1.7625
0:01:58.238	4.35
0:01:58.238	2.595
0:01:58.256	6.24
0:01:58.274	7.7025
0:01:58.329	8.325
0:01:58.363	8.37
0:01:58.363	8.1
0:01:58.400	8.79
0:01:58.400	8.4225
0:01:58.438	11.3475
0:01:58.438	10.02
0:01:58.475	13.545
0:01:58.475	12.375
0:01:58.510	13.47
0:01:58.510	11.6925
0:01:58.548	11.415
0:01:58.548	9.0375
0:01:58.548	8.5425
0:01:58.585	10.86
0:01:58.585	10.8075
0:01:58.621	10.9875
0:01:58.657	9.57
0:01:58.657	6.375
0:01:58.657	4.2525
0:01:58.678	3.315
0:01:58.713	7.9125
0:01:58.713	7.7925
0:01:58.751	8.745
0:01:58.751	7.4925
0:01:58.751	6.3075
0:01:58.789	4.2
0:01:58.789	2.7675
0:01:58.827	2.865
0:01:58.827	1.68
0:01:58.827	0
0:01:58.865	-0.3975
0:01:58.865	-0.7425
0:01:58.901	0
0:01:58.901	-0.18
0:01:58.937	0.1725
0:01:58.975	-0.5925
0:01:58.975	-0.615
0:01:59.012	-0.54
0:01:59.012	-0.8175
0:01:59.050	-1.485
0:01:59.050	-1.7475
0:01:59.070	-1.7775
0:01:59.088	-1.6875
0:01:59.125	-1.695
0:01:59.125	-1.98
0:01:59.161	-2.295
0:01:59.161	-3.255
0:01:59.196	-4.8825
0:01:59.196	-7.2225
0:01:59.235	-9.6225
0:01:59.235	-11.85
0:01:59.273	-14.1225
0:01:59.273	-15.99
0:01:59.309	-13.7775
0:01:59.309	-15.105
0:01:59.348	-12.2175
0:01:59.348	-13.4775
0:01:59.386	-11.79
0:01:59.386	-12.7875
0:01:59.386	-13.2525
0:01:59.426	-9.3825
0:01:59.426	-10.6275
0:01:59.465	-9.2175
0:01:59.465	-11.4975
0:01:59.503	-11.0475
0:01:59.503	-11.07
0:01:59.523	-8.82
0:01:59.523	-9.8925
0:01:59.558	-8.3775
0:01:59.558	-9.675
0:01:59.578	-3.255
0:01:59.578	-6.045
0:01:59.597	-2.13
0:01:59.635	-4.425
0:01:59.635	-4.5825
0:01:59.635	-5.4375
0:01:59.674	-3.8925
0:01:59.674	-4.83
0:01:59.674	-5.5425
0:01:59.709	-5.76
0:01:59.730	-2.79
0:01:59.730	-4.3875
0:01:59.771	0.6525
0:01:59.771	-0.51
0:01:59.771	-1.2525
0:01:59.809	0.2475
0:01:59.809	0.09
0:01:59.836	1.8
0:01:59.836	1.035
0:01:59.860	2.295
0:01:59.897	3.27
0:01:59.897	2.715
0:01:59.935	5.7675
0:01:59.935	4.1925
0:01:59.973	8.205
